title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1929,"127 Fallis Rd, Columbus, OH 43214",Columbus,OH,43214,3,2,1356,299900,174900,667.9994814,1699.832815,1800,17,"$25,100 (Nov 3)",https://www.zillow.com/homedetails/127-Fallis-Rd-Columbus-OH-43214/33868355_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1971,"1563 Vinton Ave, Columbus, OH 43220",Columbus,OH,43220,4,3,2158,299900,195000,744.7678609,1794.651194,1895,22,,https://www.zillow.com/homedetails/1563-Vinton-Ave-Columbus-OH-43220/33927383_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1922,"1815 Oak St, Columbus, OH 43205",Columbus,OH,43205,3,2,1582,305000,214900,820.772376,1898.915709,1999,29,"$8,000 (Oct 22)",https://www.zillow.com/homedetails/1815-Oak-St-Columbus-OH-43205/33851932_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1949,"107 Thurman Ave, Columbus, OH 43206",Columbus,OH,43206,3,1,1061,309900,138700,529.7400118,1549.740012,1650,28,"$10,000 (Nov 7)",https://www.zillow.com/homedetails/107-Thurman-Ave-Columbus-OH-43206/33832123_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2008,"1063 Bluffway Dr, Columbus, OH 43235",Columbus,OH,43235,4,4,1928,310000,228800,873.8609568,1974.777623,2075,1,,https://www.zillow.com/homedetails/1063-Bluffway-Dr-Columbus-OH-43235/92556477_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2019,"0 E Earl Ave, Gahanna, OH 43230",Gahanna,OH,43230,4,3,2450,310000,219500,838.3412588,1930.897926,2031,10,,https://www.zillow.com/homedetails/0-E-Earl-Ave-Gahanna-OH-43230/2084634249_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2019,"3089 Mccutcheon Crossing Dr, Columbus, OH 43219",Columbus,OH,43219,4,4,2917,315000,0,1203.086545,0,,4,,https://www.zillow.com/homedetails/3089-Mccutcheon-Crossing-Dr-Columbus-OH-43219/102296919_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2011,"6087 Witherspoon Way, Columbus, OH 43081",Columbus,OH,43081,4,3,2304,315000,231900,885.7008561,1999.700856,2100,7,,https://www.zillow.com/homedetails/6087-Witherspoon-Way-Columbus-OH-43081/103773013_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1923,"369 E Kelso Rd, Columbus, OH 43202",Columbus,OH,43202,3,1,1613,315000,120600,460.6102771,1474.860277,1575,8,,https://www.zillow.com/homedetails/369-E-Kelso-Rd-Columbus-OH-43202/33856698_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1986,"7852 Saddle Run, Powell, OH 43065",Powell,OH,43065,4,3,1880,319900,187400,715.741011,1799.907678,1900,0,$100 (Nov 8),https://www.zillow.com/homedetails/7852-Saddle-Run-Powell-OH-43065/34120755_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1928,"1374 Eastview Ave, Columbus, OH 43212",Columbus,OH,43212,2,1,1062,319900,102500,391.4805423,1399.647209,1500,1,,https://www.zillow.com/homedetails/1374-Eastview-Ave-Columbus-OH-43212/33828003_zpid/
Condo for sale,CONDO,FOR_SALE,2004,"3830 Trellis Ln # 115, Columbus, OH 43230",Columbus,OH,43230,3,3,2096,319900,0,1221.801224,0,,15,,https://www.zillow.com/homedetails/3830-Trellis-Ln-115-Columbus-OH-43230/2082259896_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1953,"4931 Glenburn Ave, Columbus, OH 43214",Columbus,OH,43214,3,3,2436,319900,171900,656.5415143,1726.838181,1827,22,,https://www.zillow.com/homedetails/4931-Glenburn-Ave-Columbus-OH-43214/33895137_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1922,"73 Crestview Rd, Columbus, OH 43202",Columbus,OH,43202,3,2,2279,320000,208500,796.3287128,1899.662046,2000,14,,https://www.zillow.com/homedetails/73-Crestview-Rd-Columbus-OH-43202/33840876_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"51 S Broadleigh Rd, Columbus, OH 43209",Columbus,OH,43209,3,2,1708,324500,120700,460.9922093,1494.875543,1595,0,,https://www.zillow.com/homedetails/51-S-Broadleigh-Rd-Columbus-OH-43209/33883054_zpid/
Condo for sale,CONDO,FOR_SALE,2004,"4110 Hanover Square Dr, Dublin, OH 43016",Dublin,OH,43016,2,4,1909,324800,123000,469.7766507,1765.649984,1866,21,"$5,000 (Nov 1)",https://www.zillow.com/homedetails/4110-Hanover-Square-Dr-Dublin-OH-43016/71238765_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1994,"789 Mountainview Dr, Columbus, OH 43081",Columbus,OH,43081,3,3,2580,325000,291200,1112.186672,2299.853339,2400,4,,https://www.zillow.com/homedetails/789-Mountainview-Dr-Columbus-OH-43081/34127570_zpid/
Condo for sale,CONDO,FOR_SALE,2005,"5475 Grasmere Abbey Ln, Columbus, OH 43230",Columbus,OH,43230,3,3,2430,325000,80100,305.9277213,1563.754388,1664,15,,https://www.zillow.com/homedetails/5475-Grasmere-Abbey-Ln-Columbus-OH-43230/71976338_zpid/
Condo for sale,CONDO,FOR_SALE,2001,"5236 Double Eagle Dr, Columbus, OH 43081",Columbus,OH,43081,4,4,2449,329000,148600,567.5513032,1894.934637,1995,7,,https://www.zillow.com/homedetails/5236-Double-Eagle-Dr-Columbus-OH-43081/54943838_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"4217 Preservation Ave, New Albany, OH 43054",New Albany,OH,43054,4,3,2444,329900,246600,941.8448949,2099.678228,2200,21,"$5,000 (Nov 7)",https://www.zillow.com/homedetails/4217-Preservation-Ave-New-Albany-OH-43054/71971119_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1902,"715 S Ohio Ave, Columbus, OH 43205",Columbus,OH,43205,4,4,2480,335000,130500,498.4215685,1562.724902,1663,3,,https://www.zillow.com/homedetails/715-S-Ohio-Ave-Columbus-OH-43205/33856120_zpid/
Condo for sale,CONDO,FOR_SALE,2008,"825 N 4th St UNIT 405, Columbus, OH 43215",Columbus,OH,43215,1,1,840,335000,-12100,-46.2138006,1149.619533,1250,30,,https://www.zillow.com/homedetails/825-N-4th-St-UNIT-405-Columbus-OH-43215/247455726_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1903,"702 Oakwood Ave, Columbus, OH 43205",Columbus,OH,43205,3,4,2492,337900,94700,361.6898278,1399.856495,1500,19,$500 (Nov 7),https://www.zillow.com/homedetails/702-Oakwood-Ave-Columbus-OH-43205/33855293_zpid/
